Std_Loc_Name,Transect_Num,Height,PG,shrub,Total_Grass,AG,exotic,PROSO,Live_Hits,Trials,Event_Year,Visit
Uplands_PARK_Bullwinkle_001,1,Subcanopy,0,0,0,0,0,0,0,40,2011,T1
Uplands_PARK_Bullwinkle_001,2,Subcanopy,0,4,0,0,0,0,4,40,2011,T1
Uplands_PARK_Bullwinkle_001,3,Subcanopy,0,0,0,0,0,0,0,40,2011,T1
Uplands_PARK_Bullwinkle_001,4,Subcanopy,0,2,0,0,0,0,2,40,2011,T1
Uplands_PARK_Bullwinkle_001,5,Subcanopy,0,0,0,0,0,0,0,40,2011,T1
Uplands_PARK_Bullwinkle_001,6,Subcanopy,0,0,0,0,0,0,0,40,2011,T1
Uplands_PARK_Bullwinkle_001,1,Subcanopy,1,1,1,0,0,0,2,40,2016,T2
Uplands_PARK_Bullwinkle_001,2,Subcanopy,0,6,0,0,0,0,6,40,2016,T2
Uplands_PARK_Bullwinkle_001,3,Subcanopy,0,1,0,0,0,0,1,40,2016,T2
Uplands_PARK_Bullwinkle_001,4,Subcanopy,2,6,2,0,0,0,8,40,2016,T2
Uplands_PARK_Bullwinkle_001,5,Subcanopy,0,0,0,0,0,0,1,40,2016,T2
Uplands_PARK_Bullwinkle_001,6,Subcanopy,1,0,1,0,0,0,2,40,2016,T2
Uplands_PARK_Bullwinkle_001,1,Subcanopy,1,0,1,0,0,0,1,40,2021,T3
Uplands_PARK_Bullwinkle_001,2,Subcanopy,1,4,1,0,0,0,6,40,2021,T3
Uplands_PARK_Bullwinkle_001,3,Subcanopy,0,1,0,0,0,0,1,40,2021,T3
Uplands_PARK_Bullwinkle_001,4,Subcanopy,3,10,3,0,0,0,13,40,2021,T3
Uplands_PARK_Bullwinkle_001,5,Subcanopy,0,0,0,0,0,0,2,40,2021,T3
Uplands_PARK_Bullwinkle_001,6,Subcanopy,6,0,6,0,0,0,6,40,2021,T3
Uplands_PARK_Bullwinkle_002,1,Subcanopy,0,12,0,0,0,0,12,40,2011,T1
Uplands_PARK_Bullwinkle_002,2,Subcanopy,0,1,0,0,0,0,1,40,2011,T1
Uplands_PARK_Bullwinkle_002,3,Subcanopy,0,4,0,0,0,0,4,40,2011,T1
Uplands_PARK_Bullwinkle_002,4,Subcanopy,0,1,0,0,0,0,1,40,2011,T1
Uplands_PARK_Bullwinkle_002,5,Subcanopy,0,3,0,0,0,0,3,40,2011,T1
Uplands_PARK_Bullwinkle_002,6,Subcanopy,0,0,0,0,0,0,0,40,2011,T1
Uplands_PARK_Bullwinkle_002,1,Subcanopy,2,9,2,0,0,0,11,40,2016,T2
Uplands_PARK_Bullwinkle_002,2,Subcanopy,3,9,3,0,0,0,14,40,2016,T2
Uplands_PARK_Bullwinkle_002,3,Subcanopy,3,6,3,0,0,0,9,40,2016,T2
Uplands_PARK_Bullwinkle_002,4,Subcanopy,6,2,6,0,0,0,10,40,2016,T2
Uplands_PARK_Bullwinkle_002,5,Subcanopy,0,2,0,0,0,0,3,40,2016,T2
Uplands_PARK_Bullwinkle_002,6,Subcanopy,0,1,0,0,0,0,1,40,2016,T2
Uplands_PARK_Bullwinkle_002,1,Subcanopy,1,12,1,0,0,0,13,40,2021,T3
Uplands_PARK_Bullwinkle_002,2,Subcanopy,1,6,1,0,0,0,11,40,2021,T3
Uplands_PARK_Bullwinkle_002,3,Subcanopy,0,7,0,0,0,0,9,40,2021,T3
Uplands_PARK_Bullwinkle_002,4,Subcanopy,0,1,0,0,0,0,4,40,2021,T3
Uplands_PARK_Bullwinkle_002,5,Subcanopy,0,5,0,0,0,0,5,40,2021,T3
Uplands_PARK_Bullwinkle_002,6,Subcanopy,1,3,1,0,0,0,4,40,2021,T3
Uplands_PARK_Bullwinkle_003,1,Subcanopy,0,0,0,0,0,2,2,40,2011,T1
