Std_Loc_Name,Transect_Num,underveg_bareground,exposed_bareground,total_bareground,Trials,Visit,Event_Year
Uplands_PARK_Rocky_002,1,2,1,3,40,T1,2011
Uplands_PARK_Rocky_002,2,9,0,9,40,T1,2011
Uplands_PARK_Rocky_002,3,5,2,7,40,T1,2011
Uplands_PARK_Rocky_002,4,3,0,3,40,T1,2011
Uplands_PARK_Rocky_002,5,3,1,4,40,T1,2011
Uplands_PARK_Rocky_002,6,3,0,3,40,T1,2011
Uplands_PARK_Rocky_005,1,1,0,1,40,T1,2011
Uplands_PARK_Rocky_005,2,1,0,1,40,T1,2011
Uplands_PARK_Rocky_005,3,1,0,1,40,T1,2011
Uplands_PARK_Rocky_005,4,4,0,4,40,T1,2011
Uplands_PARK_Rocky_005,5,2,0,2,40,T1,2011
Uplands_PARK_Rocky_005,6,2,1,3,40,T1,2011
Uplands_PARK_Bullwinkle_003,1,5,5,10,40,T1,2011
Uplands_PARK_Bullwinkle_003,2,1,6,7,40,T1,2011
Uplands_PARK_Bullwinkle_003,3,2,9,11,40,T1,2011
Uplands_PARK_Bullwinkle_003,4,7,8,15,40,T1,2011
Uplands_PARK_Bullwinkle_003,5,3,15,18,40,T1,2011
Uplands_PARK_Bullwinkle_003,6,7,6,13,40,T1,2011
Uplands_PARK_Bullwinkle_004,1,2,14,16,40,T1,2011
Uplands_PARK_Bullwinkle_004,2,13,11,24,40,T1,2011
Uplands_PARK_Bullwinkle_004,3,0,6,6,40,T1,2011
Uplands_PARK_Bullwinkle_004,4,4,9,13,40,T1,2011
Uplands_PARK_Bullwinkle_004,5,3,8,11,40,T1,2011
Uplands_PARK_Bullwinkle_004,6,4,10,14,40,T1,2011
Uplands_PARK_Bullwinkle_001,1,1,0,1,40,T1,2011
Uplands_PARK_Bullwinkle_001,2,5,0,5,40,T1,2011
Uplands_PARK_Bullwinkle_001,3,4,2,6,40,T1,2011
Uplands_PARK_Bullwinkle_001,4,5,0,5,40,T1,2011
Uplands_PARK_Bullwinkle_001,5,7,2,9,40,T1,2011
Uplands_PARK_Bullwinkle_001,6,4,6,10,40,T1,2011
Uplands_PARK_Rocky_010,1,6,6,12,40,T1,2011
Uplands_PARK_Rocky_010,2,7,6,13,40,T1,2011
Uplands_PARK_Rocky_010,3,6,7,13,40,T1,2011
Uplands_PARK_Rocky_010,4,10,5,15,40,T1,2011
Uplands_PARK_Rocky_010,5,7,9,16,40,T1,2011
Uplands_PARK_Rocky_010,6,5,8,13,40,T1,2011
Uplands_PARK_Bullwinkle_002,1,0,0,0,40,T1,2011
Uplands_PARK_Bullwinkle_002,2,2,0,2,40,T1,2011
Uplands_PARK_Bullwinkle_002,3,1,0,1,40,T1,2011
Uplands_PARK_Bullwinkle_002,4,2,0,2,40,T1,2011
Uplands_PARK_Bullwinkle_002,5,2,0,2,40,T1,2011
Uplands_PARK_Bullwinkle_002,6,0,0,0,40,T1,2011
Uplands_PARK_Bullwinkle_005,1,14,9,23,40,T1,2011
Uplands_PARK_Bullwinkle_005,2,3,6,9,40,T1,2011
Uplands_PARK_Bullwinkle_005,3,5,8,13,40,T1,2011
Uplands_PARK_Bullwinkle_005,4,6,8,14,40,T1,2011
Uplands_PARK_Bullwinkle_005,5,5,10,15,40,T1,2011
Uplands_PARK_Bullwinkle_005,6,6,9,15,40,T1,2011
Uplands_PARK_Rocky_003,1,3,2,5,40,T1,2011
Uplands_PARK_Rocky_003,2,2,1,3,40,T1,2011
Uplands_PARK_Rocky_003,3,3,2,5,40,T1,2011
Uplands_PARK_Rocky_003,4,0,1,1,40,T1,2011
Uplands_PARK_Rocky_003,5,3,0,3,40,T1,2011
Uplands_PARK_Rocky_003,6,3,0,3,40,T1,2011
Uplands_PARK_Rocky_005,1,8,1,9,40,T2,2016
Uplands_PARK_Rocky_005,2,4,0,4,40,T2,2016
Uplands_PARK_Rocky_005,3,3,0,3,40,T2,2016
Uplands_PARK_Rocky_005,4,4,1,5,40,T2,2016
Uplands_PARK_Rocky_005,5,2,0,2,40,T2,2016
Uplands_PARK_Rocky_005,6,6,3,9,40,T2,2016
Uplands_PARK_Rocky_003,1,1,1,2,40,T2,2016
Uplands_PARK_Rocky_003,2,4,0,4,40,T2,2016
Uplands_PARK_Rocky_003,3,1,0,1,40,T2,2016
Uplands_PARK_Rocky_003,4,13,4,17,40,T2,2016
Uplands_PARK_Rocky_003,5,0,0,0,40,T2,2016
Uplands_PARK_Rocky_003,6,0,0,0,40,T2,2016
Uplands_PARK_Bullwinkle_001,1,0,0,0,40,T2,2016
Uplands_PARK_Bullwinkle_001,2,0,0,0,40,T2,2016
Uplands_PARK_Bullwinkle_001,3,0,0,0,40,T2,2016
Uplands_PARK_Bullwinkle_001,4,0,0,0,40,T2,2016
Uplands_PARK_Bullwinkle_001,5,0,0,0,40,T2,2016
Uplands_PARK_Bullwinkle_001,6,0,2,2,40,T2,2016
Uplands_PARK_Rocky_010,1,0,0,0,40,T2,2016
Uplands_PARK_Rocky_010,2,3,1,4,40,T2,2016
Uplands_PARK_Rocky_010,3,2,0,2,40,T2,2016
Uplands_PARK_Rocky_010,4,4,2,6,40,T2,2016
Uplands_PARK_Rocky_010,5,0,0,0,40,T2,2016
Uplands_PARK_Rocky_010,6,0,0,0,40,T2,2016
Uplands_PARK_Rocky_002,1,10,1,11,40,T2,2016
Uplands_PARK_Rocky_002,2,2,1,3,40,T2,2016
Uplands_PARK_Rocky_002,3,8,4,12,40,T2,2016
Uplands_PARK_Rocky_002,4,5,0,5,40,T2,2016
Uplands_PARK_Rocky_002,5,11,0,11,40,T2,2016
Uplands_PARK_Rocky_002,6,12,0,12,40,T2,2016
Uplands_PARK_Bullwinkle_002,1,0,0,0,40,T2,2016
Uplands_PARK_Bullwinkle_002,2,2,1,3,40,T2,2016
Uplands_PARK_Bullwinkle_002,3,0,1,1,40,T2,2016
Uplands_PARK_Bullwinkle_002,4,0,0,0,40,T2,2016
Uplands_PARK_Bullwinkle_002,5,1,0,1,40,T2,2016
Uplands_PARK_Bullwinkle_002,6,1,0,1,40,T2,2016
Uplands_PARK_Bullwinkle_003,1,0,0,0,40,T2,2016
Uplands_PARK_Bullwinkle_003,2,2,1,3,40,T2,2016
Uplands_PARK_Bullwinkle_003,3,0,1,1,40,T2,2016
Uplands_PARK_Bullwinkle_003,4,1,0,1,40,T2,2016
Uplands_PARK_Bullwinkle_003,5,5,2,7,40,T2,2016
Uplands_PARK_Bullwinkle_003,6,2,0,2,40,T2,2016
Uplands_PARK_Bullwinkle_004,1,0,0,0,40,T2,2016
Uplands_PARK_Bullwinkle_004,2,1,1,2,40,T2,2016
Uplands_PARK_Bullwinkle_004,3,1,0,1,40,T2,2016
Uplands_PARK_Bullwinkle_004,4,1,0,1,40,T2,2016
Uplands_PARK_Bullwinkle_004,5,1,0,1,40,T2,2016
Uplands_PARK_Bullwinkle_004,6,3,0,3,40,T2,2016
Uplands_PARK_Bullwinkle_005,1,2,0,2,40,T2,2016
Uplands_PARK_Bullwinkle_005,2,0,1,1,40,T2,2016
Uplands_PARK_Bullwinkle_005,3,1,0,1,40,T2,2016
Uplands_PARK_Bullwinkle_005,4,2,2,4,40,T2,2016
Uplands_PARK_Bullwinkle_005,5,6,0,6,40,T2,2016
Uplands_PARK_Bullwinkle_005,6,1,0,1,40,T2,2016
Uplands_PARK_Rocky_011,1,3,0,3,40,T2,2016
Uplands_PARK_Rocky_011,2,1,1,2,40,T2,2016
Uplands_PARK_Rocky_011,3,0,0,0,40,T2,2016
Uplands_PARK_Rocky_011,4,2,1,3,40,T2,2016
Uplands_PARK_Rocky_011,5,1,0,1,40,T2,2016
Uplands_PARK_Rocky_011,6,1,0,1,40,T2,2016
Uplands_PARK_Rocky_002,1,9,0,9,40,T3,2021
Uplands_PARK_Rocky_002,2,6,4,10,40,T3,2021
Uplands_PARK_Rocky_002,3,11,0,11,40,T3,2021
Uplands_PARK_Rocky_002,4,11,2,13,40,T3,2021
Uplands_PARK_Rocky_002,5,20,0,20,40,T3,2021
Uplands_PARK_Rocky_002,6,11,0,11,40,T3,2021
Uplands_PARK_Rocky_003,1,5,1,6,40,T3,2021
Uplands_PARK_Rocky_003,2,2,1,3,40,T3,2021
Uplands_PARK_Rocky_003,3,3,1,4,40,T3,2021
Uplands_PARK_Rocky_003,4,7,4,11,40,T3,2021
Uplands_PARK_Rocky_003,5,11,2,13,40,T3,2021
Uplands_PARK_Rocky_003,6,9,0,9,40,T3,2021
Uplands_PARK_Rocky_011,1,14,0,14,40,T3,2021
Uplands_PARK_Rocky_011,2,9,1,10,40,T3,2021
Uplands_PARK_Rocky_011,3,8,2,10,40,T3,2021
Uplands_PARK_Rocky_011,4,7,3,10,40,T3,2021
Uplands_PARK_Rocky_011,5,10,2,12,40,T3,2021
Uplands_PARK_Rocky_011,6,9,0,9,40,T3,2021
Uplands_PARK_Bullwinkle_003,1,3,0,3,40,T3,2021
