Std_Loc_Name,Transect_Num,Height,PROSO,Trials,Event_Year,Visit
Uplands_PARK_Bullwinkle_001,1,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_001,2,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_001,3,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_001,4,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_001,5,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_001,6,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_001,1,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_001,2,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_001,3,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_001,4,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_001,5,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_001,6,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_001,1,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_001,2,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_001,3,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_001,4,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_001,5,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_001,6,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_002,1,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_002,2,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_002,3,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_002,4,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_002,5,Subcanopy + Canopy,0,40,2011,T1
